2066802626,WONG,LAWRENCE,HONOLULU,HI,Family Practice,S,FELODIPINE ER,FELODIPINE,"",11,15.0,450,480.69,"",*,11,"",15.0,450,480.69,= 55.0
-1450751219,MONTES,ALDO,WESTON,FL,Internal Medicine,S,FENOFIBRATE,FENOFIBRATE,"",31,85.0,2550,1988.49,"",#,"",#,"","","",= 33.0
-2117432088,CRAVEN,WILLIAM,WILSON,NC,Psychiatry & Neurology,T,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,"",14,14.0,332,3404.04,"",*,"",*,"","","",= 45.0
-1410906754,HEPPNER,PEGGY,MINNETONKA,MN,Nurse Practitioner,S,AZITHROMYCIN,AZITHROMYCIN,17,17,17.0,85,100.28,"",#,"",#,"","","",= 47.0
-1460613225,KING,RACHEL,DORCHESTER,MA,Internal Medicine,S,ALENDRONATE SODIUM,ALENDRONATE SODIUM,"",67,76.0,2158,396.62,"",*,67,"",76.0,2158,396.62,= 31.0
-1814441421,DAHAKE,SEEMA,ROCHESTER,NY,Internal Medicine,S,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,"",42,42.0,972,720.07,"",*,42,"",42.0,972,720.07,= 36.0
-1490152807,HIGGINS,NAPOLEON,FRIENDSWOOD,TX,Psychiatry,S,DULOXETINE HCL,DULOXETINE HCL,"",40,52.0,1560,2557.57,"",*,21,"",25.0,750,1601.97,= 51.0
-1591139078,MARTINEZ DE PIMENTEL,NADIA,JACKSON HEIGHTS,NY,Internal Medicine,S,JANUMET,SITAGLIPTIN PHOS/METFORMIN HCL,"",12,32.0,960,9531.63,"",*,12,"",32.0,960,9531.63,= 50.0
-1753720530,KAMDAR,NITIN,CENTER MORICHES,NY,Internal Medicine,S,TIZANIDINE HCL,TIZANIDINE HCL,12,31,37.5,1029,404.68,"",#,"",#,"","","",= 31.0
-1783895804,BAYOMI,AHMED,MASON,OH,Family Practice,S,LISINOPRIL,LISINOPRIL,13,66,84.0,2520,269.02,"",*,40,"",50.0,1500,181.48,= 41.0
-1440582986,CONTE,CORINNE,STEUBENVILLE,OH,Internal Medicine,S,ISOSORBIDE MONONITRATE ER,ISOSORBIDE MONONITRATE,"",27,35.0,1050,581.34,"",*,27,"",35.0,1050,581.34,= 40.0
-1975727577,WALLER,MARGARITE,LANCASTER,PA,Nurse Practitioner,S,TRAMADOL HCL,TRAMADOL HCL,11,18,22.3,583,495.27,11,"",18,"",22.3,583,495.27,= 44.0
-1844685458,MARPLE,VICKIE,LIBERTY,KY,Nurse Practitioner,S,AMOXICILLIN,AMOXICILLIN,29,34,34.0,304,180.49,"",#,"",#,"","","",= 30.0
-1369662801,PETERS,KIMBERLY,MOUNTAIN HOME,AR,Nurse Practitioner,S,PRIMIDONE,PRIMIDONE,"",12,12.1,340,114.6,"",*,12,"",12.1,340,114.6,= 52.0
-1642723668,CIUFFO,ALLEN,NORFOLK,VA,Cardiovascular Disease (Cardiology),S,EFFIENT,PRASUGREL HCL,"",25,29.0,870,11198.34,"",*,25,"",29.0,870,11198.34,= 54.0
-2006117962,REISS,LIND,RICHMOND,VA,Nurse Practitioner,S,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,"",14,20.0,483,275.84,"",#,"",#,"","","",= 42.0
-1834614692,ALLAIS,JEAN,LARAMIE,WY,Internal Medicine,S,TRAMADOL HCL,TRAMADOL HCL,11,48,53.7,1276,485.86,"",#,"",#,"","","",= 50.0
2096700315,HEIMER,KIM,NEW ALBANY,IN,Family Practice,S,CARVEDILOL,CARVEDILOL,14,44,105.0,3150,442.96,"",#,31,"",90.0,2700,371.78,= 55.0
-2016396835,LOGVINENKO,NINA,FAIR LAWN,NJ,Internal Medicine,S,DULOXETINE HCL,DULOXETINE HCL,"",44,44.0,1320,2146.94,"",*,21,"",21.0,630,853.09,= 32.0
-1662933651,BONGERS,GREGORY,DERBY,KS,Family Practice,S,SULFAMETHOXAZOLE-TRIMETHOPRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,"",11,11.0,96,54.27,"",*,11,"",11.0,96,54.27,= 39.0
-1703293618,AUSUBEL,IAN,VALLEY STREAM,NY,Internal Medicine,S,LORAZEPAM,LORAZEPAM,"",14,14.0,410,121.37,"",*,14,"",14.0,410,121.37,= 39.0
-2046517016,SMITH,PHILLIP,FARMINGTON,CT,Obstetrics & Gynecology,S,OXYBUTYNIN CHLORIDE ER,OXYBUTYNIN CHLORIDE,"",25,51.0,1520,1615.44,0,"",0,"",0.0,0,0.0,= 41.0
-1430403434,FERRARA,LISA,WEST NYACK,NY,Internal Medicine,S,MIRTAZAPINE,MIRTAZAPINE,"",17,23.0,690,607.34,"",*,17,"",23.0,690,607.34,= 31.0
-1723395031,MORROW,JANICE,WEST COLUMBIA,SC,Nurse Practitioner,S,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,"",11,11.0,308,826.75,"",*,11,"",11.0,308,826.75,= 40.0
